osm_way_id,highway,footway,sidewalk,corridor,tunnel,indoor,layer,bridge,covered,length_m,status,reason
151209905,footway,,,,,,1,yes,,67.45,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
151209906,footway,sidewalk,,,,,,,,9.06,missing,no covered tag and no implicit cover signal
151224274,steps,,,,,,,,,15.07,missing,no covered tag and no implicit cover signal
210983319,footway,,,,,,,,,951.72,missing,no covered tag and no implicit cover signal
210994197,footway,,,,,,1,yes,yes,361.6,existing_explicit,covered=yes is an explicit built-cover value
210994209,,,,,,,,,no,140.98,existing_explicit,covered=no is an explicit built-cover value
210994244,secondary_link,,both,,,,,,,32.6,missing,no covered tag and no implicit cover signal
210994261,footway,,,,,,,,,103.24,missing,no covered tag and no implicit cover signal
210994295,service,,right,,,,,,,138.07,missing,no covered tag and no implicit cover signal
210994303,footway,,,,,,,,,83.53,missing,no covered tag and no implicit cover signal
210994304,secondary_link,,both,,,,,,,30.43,missing,no covered tag and no implicit cover signal
211071568,footway,,,,,,1,yes,,386.66,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
221195953,footway,,,,,,,,,15.75,missing,no covered tag and no implicit cover signal
221195960,footway,,,,,,,,,3.28,missing,no covered tag and no implicit cover signal
221195963,footway,,,,,,1,yes,,6.56,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
221195964,footway,,,,,,,,,18.12,missing,no covered tag and no implicit cover signal
221195967,footway,,,,,,,,,14.18,missing,no covered tag and no implicit cover signal
221195969,footway,,,,,,1,yes,,10.73,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
221195970,footway,,,,,,1,yes,,5.09,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
221195971,footway,,,,,,1,yes,,4.23,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
221195973,footway,,,,,,,,,18.01,missing,no covered tag and no implicit cover signal
221195974,footway,,,,,,,,,29.5,missing,no covered tag and no implicit cover signal
221197311,,,,,,,,,no,40.73,existing_explicit,covered=no is an explicit built-cover value
221197312,,,,,,,,,no,112.61,existing_explicit,covered=no is an explicit built-cover value
221197315,,,,,,,,,no,21.27,existing_explicit,covered=no is an explicit built-cover value
263461643,steps,,,,,,,,yes,11.45,existing_explicit,covered=yes is an explicit built-cover value
263461645,steps,,,,,,,,,12.85,missing,no covered tag and no implicit cover signal
263461647,footway,,,,,,,,,54.99,missing,no covered tag and no implicit cover signal
263461648,footway,,,,,,1,yes,,77.98,implicit_review,"no covered tag; possibly covered: layer=1, bridge=yes"
428126739,,,,,,,,,yes,448.35,existing_explicit,covered=yes is an explicit built-cover value
461676067,footway,,,,,,,,,1334.11,missing,no covered tag and no implicit cover signal
603234065,service,,,,,,,,yes,90.5,existing_explicit,covered=yes is an explicit built-cover value
603234075,path,,,,,,,,,21.2,missing,no covered tag and no implicit cover signal
603234076,path,,,,,,,,,24.39,missing,no covered tag and no implicit cover signal
603814878,footway,,,,,,1,yes,yes,21.41,existing_explicit,covered=yes is an explicit built-cover value
603814879,steps,,,,,yes,,,,39.71,implicit_review,no covered tag; possibly covered: indoor=yes
603814881,footway,,,,,,1,yes,yes,368.66,existing_explicit,covered=yes is an explicit built-cover value
603815893,footway,,,,,,1,yes,yes,27.76,existing_explicit,covered=yes is an explicit built-cover value
603815894,steps,,,,,yes,,,,6.48,implicit_review,no covered tag; possibly covered: indoor=yes
603815895,footway,,,,,,,,,18.83,missing,no covered tag and no implicit cover signal
603816937,footway,,,,,,,,,10.11,missing,no covered tag and no implicit cover signal
603816938,steps,,,,,,,,,20.29,missing,no covered tag and no implicit cover signal
764530864,footway,,,,,,,,,37.1,missing,no covered tag and no implicit cover signal
